STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,SNOW,TMAX,TMIN
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200701,0.01,0.0,86,66
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200702,0.03,0.0,88,65
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200703,0.00,0.0,88,68
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200704,0.00,0.0,82,58
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200705,0.76,0.0,76,55
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200706,0.36,0.0,72,64
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200707,0.00,0.0,78,57
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200708,0.09,0.0,77,56
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200709,0.11,0.0,82,54
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200710,0.33,0.0,83,56
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200711,0.00,0.0,82,57
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200712,0.00,0.0,80,60
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200713,0.12,0.0,80,66
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200714,0.53,0.0,77,61
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200715,0.00,0.0,83,54
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200716,0.00,0.0,84,58
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200717,0.45,0.0,88,61
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200718,0.00,0.0,79,68
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200719,0.00,0.0,79,54
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200720,0.00,0.0,84,57
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200721,0.00,0.0,92,68
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200722,0.00,0.0,92,63
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200723,0.00,0.0,94,71
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200724,0.00,0.0,80,63
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200725,0.00,0.0,76,54
